"training/epoch","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step__MAX"
"22","","","","","","","","","","","","","0.20781982554630798","0.20781982554630798","0.20781982554630798","26","26","26","0.22874315771233125","0.22874315771233125","0.22874315771233125","27","27","27","0.25210321533679964","0.25210321533679964","0.25210321533679964","27","27","27"
"23","","","","","","","","","","","","","0.20669160022295732","0.20669160022295732","0.20669160022295732","27","27","27","0.2259961219437151","0.2259961219437151","0.2259961219437151","28","28","28","0.24650955307483674","0.24650955307483674","0.24650955307483674","28","28","28"
"24","","","","","","","","","","","","","0.20405570959503","0.20405570959503","0.20405570959503","28","28","28","0.22463303265801396","0.22463303265801396","0.22463303265801396","29","29","29","0.243461083650589","0.243461083650589","0.243461083650589","29","29","29"
"25","","","","","","","","","","","","","0.20002400420885036","0.20002400420885036","0.20002400420885036","29","29","29","0.2219463176277268","0.2219463176277268","0.2219463176277268","30","30","30","0.2442194846868515","0.2442194846868515","0.2442194846868515","30","30","30"
"26","","","","","","","","","","","","","0.19784209343360706","0.19784209343360706","0.19784209343360706","30","30","30","0.21511216156453972","0.21511216156453972","0.21511216156453972","31","31","31","0.239848188996315","0.239848188996315","0.239848188996315","31","31","31"
"27","","","","","","","","","","","","","0.19561628985373095","0.19561628985373095","0.19561628985373095","31","31","31","0.2163007849430942","0.2163007849430942","0.2163007849430942","32","32","32","0.2388087717294693","0.2388087717294693","0.2388087717294693","32","32","32"
"28","","","","","","","","","","","","","0.19699706571465508","0.19699706571465508","0.19699706571465508","32","32","32","0.21128888877041369","0.21128888877041369","0.21128888877041369","33","33","33","0.24374420273303984","0.24374420273303984","0.24374420273303984","33","33","33"
"29","","","","","","","","","","","","","0.1951042605753251","0.1951042605753251","0.1951042605753251","33","33","33","0.2109234435970046","0.2109234435970046","0.2109234435970046","34","34","34","0.23555928266048431","0.23555928266048431","0.23555928266048431","34","34","34"
"30","","","","","","","","","","","","","0.19493863659905877","0.19493863659905877","0.19493863659905877","34","34","34","0.20749352537245158","0.20749352537245158","0.20749352537245158","35","35","35","0.2330912301540375","0.2330912301540375","0.2330912301540375","35","35","35"
"31","","","","","","","","","","","","","","","","","","","0.2069016927815824","0.2069016927815824","0.2069016927815824","36","36","36","0.23411382579803466","0.23411382579803466","0.23411382579803466","36","36","36"
"32","","","","","","","","","","","","","","","","","","","0.20338694033134413","0.20338694033134413","0.20338694033134413","37","37","37","0.23421897578239442","0.23421897578239442","0.23421897578239442","37","37","37"
"33","","","","","","","","","","","","","","","","","","","0.20381642800258346","0.20381642800258346","0.20381642800258346","38","38","38","0.23567117297649384","0.23567117297649384","0.23567117297649384","38","38","38"
"34","","","","","","","","","","","","","","","","","","","0.20400307899019327","0.20400307899019327","0.20400307899019327","39","39","39","0.23028952598571778","0.23028952598571778","0.23028952598571778","39","39","39"
"35","","","","","","","","","","","","","","","","","","","0.19882383625430755","0.19882383625430755","0.19882383625430755","40","40","40","0.22984887444972993","0.22984887444972993","0.22984887444972993","40","40","40"
"36","","","","","","","","","","","","","","","","","","","0.19751749196684504","0.19751749196684504","0.19751749196684504","41","41","41","0.22944849169254303","0.22944849169254303","0.22944849169254303","41","41","41"
"37","","","","","","","","","","","","","","","","","","","0.1969701914662817","0.1969701914662817","0.1969701914662817","42","42","42","0.2291680346727371","0.2291680346727371","0.2291680346727371","42","42","42"
"38","","","","","","","","","","","","","","","","","","","0.19373913983025226","0.19373913983025226","0.19373913983025226","43","43","43","0.22539704298973084","0.22539704298973084","0.22539704298973084","43","43","43"
"39","","","","","","","","","","","","","","","","","","","0.19209212166477876","0.19209212166477876","0.19209212166477876","44","44","44","0.2218826940059662","0.2218826940059662","0.2218826940059662","44","44","44"
"40","","","","","","","","","","","","","","","","","","","0.1919152537981669","0.1919152537981669","0.1919152537981669","45","45","45","0.22405314981937408","0.22405314981937408","0.22405314981937408","45","45","45"
"41","","","","","","","","","","","","","","","","","","","0.19239157976874385","0.19239157976874385","0.19239157976874385","46","46","46","0.22389021706581116","0.22389021706581116","0.22389021706581116","46","46","46"
"42","","","","","","","","","","","","","","","","","","","0.19030011526073318","0.19030011526073318","0.19030011526073318","47","47","47","0.22464554703235626","0.22464554703235626","0.22464554703235626","47","47","47"
